City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
jackson,42.4165,-122.8345,22.06,60,0,1.54,US,2024-06-08 09:19:35
praia,14.9215,-23.5087,28.3,54,20,8.75,CV,2024-06-08 09:19:35
mata-utu,-13.2816,-176.1745,28.09,73,100,10.21,WF,2024-06-08 09:19:35
hadibu,12.65,54.0333,28.84,77,73,7.44,YE,2024-06-08 09:19:35
east end,34.5507,-92.341,27.17,66,84,3.78,US,2024-06-08 09:19:36
carmen,18.6333,-91.8333,31.02,66,75,0.0,MX,2024-06-08 09:19:36
lorengau,-2.0226,147.2712,26.75,85,69,2.15,PG,2024-06-08 09:19:36
barbacoas,1.6715,-78.1398,27.79,84,98,1.96,CO,2024-06-08 09:19:36
hamamatsu,34.7,137.7333,21.63,78,81,0.98,JP,2024-06-08 09:19:36
noumea,-22.2763,166.4572,23.89,99,100,2.87,NC,2024-06-08 09:17:43
abepura,-2.6333,140.5833,24.45,100,40,0.51,ID,2024-06-08 09:19:37
kyshtovka,56.555,76.6271,12.41,92,75,5.81,RU,2024-06-08 09:19:37
zungeru,9.8128,6.1558,35.64,41,93,0.97,NG,2024-06-08 09:19:37
ak'ordat,15.5486,37.8867,40.87,13,18,4.64,ER,2024-06-08 09:19:37
dwarka,22.2394,68.9678,29.21,81,42,5.67,IN,2024-06-08 09:19:37
pajara,28.3504,-14.1076,22.73,74,63,5.37,ES,2024-06-08 09:19:37
n'zeto,-7.2312,12.8666,23.99,76,68,4.25,AO,2024-06-08 09:19:38
jaisalmer,26.9147,70.9181,34.34,22,0,6.09,IN,2024-06-08 09:19:38
blatna,49.4249,13.8818,26.81,26,85,3.18,CZ,2024-06-08 09:19:38
bengkulu,-3.8004,102.2655,24.9,92,83,1.76,ID,2024-06-08 09:19:38
pajapan,18.25,-94.7,34.09,51,100,1.46,MX,2024-06-08 09:19:38
ola,59.5833,151.2833,5.08,99,100,1.66,RU,2024-06-08 09:19:38
stornoway,58.2093,-6.3865,7.98,88,100,4.12,GB,2024-06-08 09:19:39
dudinka,69.4058,86.1778,2.04,97,99,4.02,RU,2024-06-08 09:19:39
gadzhiyevo,69.2551,33.3362,5.35,79,100,8.6,RU,2024-06-08 09:19:39
labrador city,52.9463,-66.9114,23.95,38,40,1.54,CA,2024-06-08 09:19:39
san pedro,14.35,121.0167,29.08,87,75,0.89,PH,2024-06-08 09:19:39
taulaga,-11.0553,-171.0883,27.82,80,88,7.95,AS,2024-06-08 09:19:40
turpan,42.9333,89.1667,33.74,15,100,5.04,CN,2024-06-08 09:19:40
ifanadiana,-21.3,47.6333,18.06,92,0,1.0,MG,2024-06-08 09:19:40
kayenta,36.7278,-110.2546,27.64,12,3,4.21,US,2024-06-08 09:19:40
launceston,-41.45,147.1667,3.8,100,100,0.0,AU,2024-06-08 09:19:40
senador guiomard,-10.1522,-67.7392,31.86,34,6,2.1,BR,2024-06-08 09:19:40
upata,8.0086,-62.3989,33.49,43,26,3.24,VE,2024-06-08 09:19:41
ancud,-41.8697,-73.8203,12.49,91,100,8.8,CL,2024-06-08 09:19:41
mitsamiouli,-11.3847,43.2844,26.81,71,12,5.47,KM,2024-06-08 09:19:41
nyons,44.3333,5.1667,25.86,43,98,1.22,FR,2024-06-08 09:19:41
urangan,-25.3,152.9,14.55,72,0,2.68,AU,2024-06-08 09:19:41
paita,-5.0892,-81.1144,22.08,71,69,5.89,PE,2024-06-08 09:19:41
afaahiti,-17.75,-149.2833,23.93,85,100,7.17,PF,2024-06-08 09:19:42
selfoss,63.9331,-20.9971,10.58,48,87,3.61,IS,2024-06-08 09:19:42
aweil,8.7682,27.4002,26.48,73,98,1.57,SS,2024-06-08 09:19:42
uturoa,-16.7333,-151.4333,25.96,79,6,2.69,PF,2024-06-08 09:19:42
pacasmayo,-7.4006,-79.5714,20.96,74,56,5.35,PE,2024-06-08 09:19:42
letlhakane,-21.4167,25.5833,15.67,49,0,7.74,BW,2024-06-08 09:19:42
midvagur,62.0511,-7.1939,8.46,71,100,8.23,FO,2024-06-08 09:19:43
coahuayana de hidalgo,18.7,-103.6583,30.52,55,100,1.9,MX,2024-06-08 09:19:43
la mitra,8.8422,-79.7867,30.59,78,100,1.92,PA,2024-06-08 09:19:43
ulsteinvik,62.3432,5.8487,11.5,86,100,1.79,NO,2024-06-08 09:19:43
al kharijah,25.4514,30.5464,40.9,8,0,4.84,EG,2024-06-08 09:19:43
paceco,37.9787,12.5566,33.1,54,0,3.6,IT,2024-06-08 09:19:43
malakal,9.5334,31.6605,33.91,41,81,2.62,SS,2024-06-08 09:19:44
oppdal,62.5943,9.6912,9.05,63,100,3.36,NO,2024-06-08 09:19:44
aykhal,66.0,111.5,10.9,96,79,3.2,RU,2024-06-08 09:19:44
wichita falls,33.9137,-98.4934,32.45,48,0,10.8,US,2024-06-08 09:19:44
sitka,57.0531,-135.33,16.94,42,40,3.09,US,2024-06-08 09:19:44
chertkovo,49.3847,40.1547,22.87,57,54,3.57,RU,2024-06-08 09:19:44
merizo village,13.2658,144.6691,28.31,89,77,5.93,GU,2024-06-08 09:19:45
dickinson,29.4608,-95.0513,33.94,68,40,5.66,US,2024-06-08 09:19:45
brokopondo,4.75,-55.1667,28.89,66,19,0.83,SR,2024-06-08 09:19:45
medicine hat,50.0501,-110.6683,17.62,35,75,2.57,CA,2024-06-08 09:18:03
alesund,62.4723,6.1549,11.51,81,75,5.14,NO,2024-06-08 09:19:45
boa vista,2.8197,-60.6733,26.99,83,75,1.54,BR,2024-06-08 09:19:45
ulaangom,49.9811,92.0667,20.23,43,43,1.25,MN,2024-06-08 09:19:45
nuku'alofa,-21.1333,-175.2,22.19,64,20,4.63,TO,2024-06-08 09:19:46
turtas,58.9417,69.1325,12.62,75,10,1.15,RU,2024-06-08 09:19:46
port moresby,-9.4431,147.1797,24.68,94,75,5.14,PG,2024-06-08 09:19:46
adiake,5.2863,-3.304,27.7,77,67,4.01,CI,2024-06-08 09:19:46
araguaina,-7.1911,-48.2072,34.55,32,0,4.1,BR,2024-06-08 09:19:46
linkoping,58.4109,15.6216,14.66,91,100,2.06,SE,2024-06-08 09:19:46
argostolion,38.1811,20.489,28.04,44,0,7.2,GR,2024-06-08 09:19:47
papao,-17.75,-149.55,24.82,86,95,7.6,PF,2024-06-08 09:19:47
paka,4.6374,103.4368,24.96,94,100,0.0,MY,2024-06-08 09:19:47
minot air force base,48.4209,-101.3391,19.1,50,40,3.09,US,2024-06-08 09:16:57
ladario,-19.0047,-57.6017,35.05,33,5,5.66,BR,2024-06-08 09:19:48
howrah,22.5892,88.3103,31.0,89,20,6.69,IN,2024-06-08 09:19:48
arraias,-12.9288,-46.9437,30.8,27,14,3.58,BR,2024-06-08 09:19:48
pinotepa nacional,16.3167,-98.0167,35.01,34,81,1.66,MX,2024-06-08 09:19:48
kill devil hills,36.0307,-75.676,28.0,60,0,2.57,US,2024-06-08 09:19:48
ryotsu-minato,38.0833,138.4333,18.32,86,100,2.16,JP,2024-06-08 09:19:48
sooke,48.3746,-123.7276,21.99,65,66,1.03,CA,2024-06-08 09:19:49
namibe,-15.1961,12.1522,21.42,67,33,3.37,AO,2024-06-08 09:19:49
kurchum,48.5722,83.6542,17.32,89,100,1.52,KZ,2024-06-08 09:19:49
zheleznogorsk-ilimskiy,56.5768,104.1217,10.2,59,87,0.89,RU,2024-06-08 09:19:49
san giovanni valdarno,43.5667,11.5333,28.84,65,78,2.81,IT,2024-06-08 09:19:49
talcahuano,-36.7167,-73.1167,14.82,82,100,11.32,CL,2024-06-08 09:23:03
martignas-sur-jalle,44.8453,-0.7806,28.05,57,0,5.14,FR,2024-06-08 09:19:50
belmonte,-15.8631,-38.8828,25.6,78,13,4.01,BR,2024-06-08 09:19:50
istgah-e rah ahan-e garmsar,35.2346,52.3094,33.1,9,2,3.8,IR,2024-06-08 09:19:50
cowra,-33.8333,148.6833,6.9,96,55,1.99,AU,2024-06-08 09:19:50
mombetsu,44.3525,143.3525,14.22,90,100,2.22,JP,2024-06-08 09:19:50
lata,40.1629,-8.3327,21.15,77,79,2.76,PT,2024-06-08 09:19:50
reichenbach/vogtland,50.6167,12.3,25.17,40,46,1.79,DE,2024-06-08 09:19:51
princeville,45.7668,-61.2985,18.01,95,100,4.63,CA,2024-06-08 09:19:51
yinchuan,38.4681,106.2731,23.91,33,21,4.49,CN,2024-06-08 09:19:51
bedi,22.5,70.05,29.51,79,25,8.45,IN,2024-06-08 09:19:51
shumikha,55.2261,63.2961,13.9,87,100,3.48,RU,2024-06-08 09:19:51
middelburg,-25.7751,29.4648,9.08,60,5,5.77,ZA,2024-06-08 09:19:51
mermoz boabab,14.7065,-17.4758,28.31,69,0,5.14,SN,2024-06-08 09:19:52
jincheng,35.5022,112.8328,22.52,33,86,1.3,CN,2024-06-08 09:19:52
murun-kuren,49.6342,100.1625,16.11,40,77,0.9,MN,2024-06-08 09:19:52
shenjiamen,29.9576,122.298,19.88,94,75,0.33,CN,2024-06-08 09:19:52
melfort,52.8667,-104.6177,6.07,81,100,5.14,CA,2024-06-08 09:19:52
klyuchi,52.2667,79.1667,18.95,73,12,2.74,RU,2024-06-08 09:19:53
scottburgh,-30.2867,30.7532,16.84,62,53,2.63,ZA,2024-06-08 09:19:53
lock haven,41.137,-77.4469,23.53,38,24,5.5,US,2024-06-08 09:18:35
happy valley-goose bay,53.3168,-60.3315,18.17,63,20,3.6,CA,2024-06-08 09:18:57
borgarnes,64.5383,-21.9206,9.03,62,100,5.67,IS,2024-06-08 09:19:53
feicheng,35.2606,117.9675,25.73,35,100,2.04,CN,2024-06-08 09:19:53
anna regina,7.2644,-58.5077,29.11,70,71,3.75,GY,2024-06-08 09:19:53
zaozersk,69.4005,32.4476,3.76,86,99,9.12,RU,2024-06-08 09:19:54
codrington,-38.2667,141.9667,12.64,81,100,5.52,AU,2024-06-08 09:19:54
smara,26.7384,-11.6719,32.76,20,0,5.12,EH,2024-06-08 09:19:54
litchfield,41.7668,-73.2501,21.58,66,25,0.89,US,2024-06-08 09:19:54
aras-asan,8.8908,126.3033,26.54,85,57,1.68,PH,2024-06-08 09:19:54
myitkyina,25.3833,97.4,24.62,98,6,0.94,MM,2024-06-08 09:19:55
banda aceh,5.5577,95.3222,27.77,76,58,4.59,ID,2024-06-08 09:19:55
san ignacio,17.1561,-89.0714,29.08,79,40,2.06,BZ,2024-06-08 09:19:55
grevesmuhlen,53.8667,11.1833,19.48,70,82,7.62,DE,2024-06-08 09:19:55
gisborne,-38.6533,178.0042,9.08,89,16,3.06,NZ,2024-06-08 09:19:55
nizao,18.25,-70.2,32.04,67,73,4.53,DO,2024-06-08 09:19:55
curillo,1.0333,-75.9191,21.46,100,100,1.12,CO,2024-06-08 09:19:56
borogontsy,62.6683,131.1683,9.95,75,35,1.87,RU,2024-06-08 09:19:56
twon-brass,4.3151,6.2418,27.29,78,100,6.81,NG,2024-06-08 09:19:56
mendi,-6.1761,143.6513,14.35,99,100,0.17,PG,2024-06-08 09:19:56
kone,-21.0595,164.8658,21.08,89,100,1.93,NC,2024-06-08 09:19:56
puente alto,-33.6167,-70.5833,16.57,59,75,2.06,CL,2024-06-08 09:19:56
wotho,10.1657,166.0102,28.32,81,91,8.41,MH,2024-06-08 09:19:57
oskaloosa,41.2964,-92.6444,24.99,69,40,4.63,US,2024-06-08 09:19:57
shangmei,27.7428,111.2956,21.43,96,100,1.17,CN,2024-06-08 09:19:57
malanje,-9.5402,16.341,28.46,27,11,1.76,AO,2024-06-08 09:19:57
isla mujeres,21.2311,-86.731,33.03,66,36,4.51,MX,2024-06-08 09:19:57
manoharpur,27.3,75.95,33.83,26,90,4.54,IN,2024-06-08 09:19:58
sassandra,4.95,-6.0833,27.01,83,47,4.1,CI,2024-06-08 09:19:58
zhalantun,48.0,122.7167,10.07,90,29,1.57,CN,2024-06-08 09:19:58
iquitos,-3.7481,-73.2472,27.02,94,75,1.03,PE,2024-06-08 09:15:07
hotan,37.0997,79.9269,21.39,37,100,5.17,CN,2024-06-08 09:19:58
dharchula,29.85,80.5333,18.43,28,36,3.09,IN,2024-06-08 09:19:58
wangon,-7.5161,109.0539,24.84,94,54,1.45,ID,2024-06-08 09:19:59
shagonar,51.5333,92.8,17.37,68,51,2.68,RU,2024-06-08 09:19:59
kailua-kona,19.6406,-155.9956,23.98,91,0,2.57,US,2024-06-08 09:19:59
mildura,-34.2,142.15,8.93,84,59,3.47,AU,2024-06-08 09:19:59
richards bay,-28.783,32.0377,18.5,49,54,3.11,ZA,2024-06-08 09:19:59
hithadhoo,-0.6,73.0833,28.46,75,80,4.45,MV,2024-06-08 09:20:00
piti village,13.4626,144.6933,28.49,83,0,3.09,GU,2024-06-08 09:20:00
santa marta de tormes,40.9506,-5.6272,19.84,65,100,3.32,ES,2024-06-08 09:20:00
iwanai,42.9744,140.5089,15.28,85,100,4.33,JP,2024-06-08 09:20:00
nizhneudinsk,54.9076,99.0276,14.26,96,100,1.43,RU,2024-06-08 09:20:00
jeddah,21.5169,39.2192,37.92,15,0,1.54,SA,2024-06-08 09:20:00
mejit,10.2753,170.8646,27.8,81,81,7.69,MH,2024-06-08 09:20:01
kourou,5.1552,-52.6478,32.03,68,37,2.92,GF,2024-06-08 09:20:01
bure,10.7,37.0667,19.82,65,100,2.03,ET,2024-06-08 09:20:01
la possession,-20.9289,55.3351,22.99,73,100,4.63,RE,2024-06-08 09:20:01
arno,60.1167,18.6333,13.21,53,99,4.73,SE,2024-06-08 09:20:01
farafangana,-22.8167,47.8333,22.45,80,0,4.74,MG,2024-06-08 09:20:02
nuuk,64.1835,-51.7216,6.34,87,100,11.32,GL,2024-06-08 09:19:06
ciutadella,40.0011,3.8414,24.45,82,100,7.3,ES,2024-06-08 09:20:03
ust'-kulom,61.6864,53.6902,18.86,60,71,1.75,RU,2024-06-08 09:20:03
pandan,14.0453,124.1694,27.03,84,97,1.53,PH,2024-06-08 09:20:03
port douglas,-16.4833,145.4667,18.74,67,0,1.85,AU,2024-06-08 09:20:04
buckie,57.6757,-2.9624,10.02,78,64,10.34,GB,2024-06-08 09:20:04
mangaratiba,-22.9597,-44.0406,29.48,65,0,2.18,BR,2024-06-08 09:20:04
tharangambadi,11.0319,79.8528,28.3,80,99,7.23,IN,2024-06-08 09:20:04
sisimiut,66.9395,-53.6735,5.06,75,34,1.99,GL,2024-06-08 09:20:04
rajura,19.7833,79.3667,28.88,69,86,4.81,IN,2024-06-08 09:20:05
berryville,36.3648,-93.568,30.03,57,87,6.54,US,2024-06-08 09:20:05
bardai,11.65,7.2333,32.85,39,98,3.49,NG,2024-06-08 09:20:05
san juan bautista,-14.0108,-75.7358,25.55,41,82,1.08,PE,2024-06-08 09:20:05
pul-e khumri,35.9446,68.7151,27.33,22,0,1.34,AF,2024-06-08 09:20:05
beardstown,40.0176,-90.4243,23.55,89,100,4.83,US,2024-06-08 09:20:06
bunia,1.5667,30.25,21.28,79,42,1.57,CD,2024-06-08 09:20:06
swanzey,42.8698,-72.2818,20.54,74,75,6.17,US,2024-06-08 09:20:06
acapulco de juarez,16.8634,-99.8901,29.9,62,75,4.12,MX,2024-06-08 09:15:15
vejer de la frontera,36.2446,-5.9695,21.72,69,66,5.62,ES,2024-06-08 09:20:06
crixas,-14.5489,-49.9692,32.6,26,11,4.01,BR,2024-06-08 09:20:07
tropea,38.6754,15.8948,25.61,69,0,1.3,IT,2024-06-08 09:20:07
watseka,40.7762,-87.7364,23.95,82,100,4.06,US,2024-06-08 09:20:07
natal,-5.795,-35.2094,29.36,74,75,6.17,BR,2024-06-08 09:18:15
dame-marie,18.5667,-74.4167,31.06,63,100,2.08,HT,2024-06-08 09:20:07
salinopolis,-0.6136,-47.3561,29.43,70,36,6.29,BR,2024-06-08 09:20:07
barrow in furness,54.1167,-3.2333,15.53,64,3,10.73,GB,2024-06-08 09:20:07
rocky mountain house,52.3668,-114.9188,4.06,93,74,3.6,CA,2024-06-08 09:20:08
jumla,29.2747,82.1838,13.07,49,37,2.85,NP,2024-06-08 09:20:08
jijel,36.8205,5.7667,31.37,42,94,1.79,DZ,2024-06-08 09:20:08
camana,-16.6228,-72.7111,20.47,68,38,3.8,PE,2024-06-08 09:20:08
butte,39.6499,-121.5677,22.43,58,0,2.06,US,2024-06-08 09:20:08
huarmey,-10.0681,-78.1522,21.03,74,55,3.75,PE,2024-06-08 09:20:08
tofol,5.3248,163.0078,28.43,79,57,3.9,FM,2024-06-08 09:20:09
valparaiso,-33.0393,-71.6273,16.19,88,100,7.72,CL,2024-06-08 09:20:09
montagu,-40.7667,144.9667,11.47,88,96,5.54,AU,2024-06-08 09:20:09
okahao,-17.885,15.0667,24.01,21,78,2.36,NA,2024-06-08 09:20:09
mount gambier,-37.8333,140.7667,10.28,90,98,2.26,AU,2024-06-08 09:20:09
cadca,49.435,18.789,26.38,47,5,3.69,SK,2024-06-08 09:20:09
kholmsk,47.0511,142.0569,13.94,68,100,3.36,RU,2024-06-08 09:20:10
macapa,0.0389,-51.0664,30.99,70,40,5.66,BR,2024-06-08 09:20:10
fort stockton,30.894,-102.8793,36.2,21,0,6.17,US,2024-06-08 09:20:10
montepuez,-13.1256,38.9997,25.47,35,26,3.33,MZ,2024-06-08 09:20:10
lodwar,3.1191,35.5973,34.43,31,76,3.34,KE,2024-06-08 09:20:10
funafuti,-8.5243,179.1942,28.0,89,75,0.51,TV,2024-06-08 09:20:10
griffith,41.5284,-87.4237,24.38,56,40,4.63,US,2024-06-08 09:20:11
linton hall,38.7598,-77.575,28.31,44,0,2.57,US,2024-06-08 09:20:11
degerfors,59.238,14.4308,12.6,95,100,4.9,SE,2024-06-08 09:20:11
gislaved,57.3044,13.5408,12.55,78,100,6.16,SE,2024-06-08 09:20:11
tongouson,5.0214,120.1328,28.64,74,97,1.61,PH,2024-06-08 09:20:11
kokopo,-4.352,152.2633,24.97,88,100,2.46,PG,2024-06-08 09:20:12
itapirapua,-15.8233,-50.6133,33.59,24,35,3.47,BR,2024-06-08 09:20:12
tafuna,-14.3358,-170.72,27.26,75,48,9.56,AS,2024-06-08 09:20:12
sovetskaya gavan',48.9723,140.2878,11.73,99,100,2.63,RU,2024-06-08 09:20:12
salym,60.0625,71.4789,12.71,69,17,1.49,RU,2024-06-08 09:20:12
kashgar,39.4547,75.9797,20.56,49,40,4.0,CN,2024-06-08 09:20:12
malvan,16.0667,73.4667,27.39,84,100,8.31,IN,2024-06-08 09:20:13
general mosconi,-23.1851,-62.303,32.06,28,47,12.06,AR,2024-06-08 09:20:13
volchikha,52.0333,80.3833,18.88,74,32,2.68,RU,2024-06-08 09:20:13
yamba,-5.9,22.3,29.33,27,3,1.36,CD,2024-06-08 09:20:13
extrema,-22.8547,-46.3183,25.7,41,0,0.56,BR,2024-06-08 09:20:13
williams lake,52.1415,-122.1445,15.76,38,0,2.57,CA,2024-06-08 09:20:13
nemuro,43.3236,145.575,9.99,97,100,5.08,JP,2024-06-08 09:20:14
santa elena de uairen,4.6167,-61.1333,23.27,80,100,3.5,VE,2024-06-08 09:20:14
olyokminsk,60.3736,120.4264,11.12,81,31,3.05,RU,2024-06-08 09:20:14
kayangel,8.0823,134.7173,28.65,75,58,4.61,PW,2024-06-08 09:20:14
cranbrook,49.4999,-115.7688,15.91,29,0,5.14,CA,2024-06-08 09:20:14
pariaman,-0.619,100.12,28.03,86,32,1.98,ID,2024-06-08 09:20:14
thunder bay,48.4001,-89.3168,19.95,42,75,6.69,CA,2024-06-08 09:20:15
languyan,5.2618,120.0807,26.22,83,99,1.08,PH,2024-06-08 09:20:15
sungai penuh,-2.0833,101.3833,19.05,98,98,1.3,ID,2024-06-08 09:20:15
raja,8.4596,25.678,31.99,45,100,3.78,SS,2024-06-08 09:20:15
chegdomyn,51.1167,133.0167,11.25,98,100,1.3,RU,2024-06-08 09:20:15
okuchi-shinohara,32.0667,130.6167,19.55,100,100,0.91,JP,2024-06-08 09:20:15
lewistown,40.5992,-77.5714,24.56,75,75,5.14,US,2024-06-08 09:20:16
initao,8.4997,124.3039,24.99,83,100,2.29,PH,2024-06-08 09:20:16
sinan,34.8262,126.1086,21.06,90,100,4.1,KR,2024-06-08 09:20:16
sal rei,16.1833,-22.9167,26.11,65,75,7.72,CV,2024-06-08 09:20:16
tres arroyos,-38.3739,-60.2798,18.52,84,100,5.54,AR,2024-06-08 09:20:16
moapa valley,36.5805,-114.4703,36.49,15,0,2.64,US,2024-06-08 09:20:16
queenstown,-31.8976,26.8753,10.02,60,10,0.63,ZA,2024-06-08 09:15:19
yarmouth,41.7057,-70.2286,25.34,62,20,6.17,US,2024-06-08 09:20:17
yeraliyev,43.2,51.65,25.49,45,95,5.73,KZ,2024-06-08 09:20:17
balabac,7.9868,117.0645,27.24,79,100,3.72,PH,2024-06-08 09:20:17
santander,43.4647,-3.8044,18.67,85,100,6.17,ES,2024-06-08 09:20:17
barra de santo antonio,-9.4047,-35.5072,25.6,72,98,3.3,BR,2024-06-08 09:20:17
mitu,1.1983,-70.1733,23.22,99,100,1.21,CO,2024-06-08 09:18:00
ko lanta,7.5336,99.0865,28.86,74,80,6.01,TH,2024-06-08 09:20:18
toungo,8.1167,12.05,31.5,52,98,4.01,NG,2024-06-08 09:20:18
port saint john's,-31.6229,29.5448,16.45,70,71,2.86,ZA,2024-06-08 09:20:18
